 17.7   0.105E+01 
 34     0.955E+00 
 58.1   0.860E+00 
 90.9   0.765E+00 
 134    0.674E+00 
 189    0.592E+00 
 262    0.524E+00 
 330    0.473E+00 
 382    0.442E+00 
