0.5	0.5665	0.69342
1.5	0.72108	0.86748
2.5	0.59497	0.69112
3.5	0.40325	0.43761
4.5	0.30952	0.32926
5.5	0.2794	0.29385
6.5	0.27266	0.28904
7.5	0.28306	0.30151
8.5	0.29109	0.31013
9.5	0.30265	0.32825
10.5	0.31832	0.34285
11.5	0.32511	0.34791
12.5	0.33985	0.35663
13.5	0.34995	0.37918
14.5	0.36254	0.38825
15.5	0.36328	0.38173
16.5	0.40636	0.41344
17.5	0.39956	0.41007
18.5	0.39475	0.43706
19.5	0.40166	0.42683
20.5	0.41415	0.41086
21.5	0.42093	0.45077
22.5	0.453	0.46474
23.5	0.45907	0.48083
24.5	0.44146	0.54512
25.5	0.51871	0.43163
26.5	0.48546	0.5514
27.5	0.57476	0.55152
28.5	0.56329	0.53758
29.5	0.60289	0.71592
