0.5	0.57021	0.7006
1.5	0.71154	0.85611
2.5	0.59237	0.68611
3.5	0.41842	0.45452
4.5	0.33452	0.35571
5.5	0.30979	0.32558
6.5	0.30694	0.32489
7.5	0.31816	0.33839
8.5	0.32732	0.34916
9.5	0.33967	0.36688
10.5	0.3539	0.38181
11.5	0.36204	0.38719
12.5	0.37659	0.39661
13.5	0.38653	0.41927
14.5	0.39925	0.42683
15.5	0.40043	0.4204
16.5	0.43427	0.45029
17.5	0.43447	0.44768
18.5	0.43107	0.46873
19.5	0.43839	0.46605
20.5	0.45132	0.45547
21.5	0.46388	0.49962
22.5	0.48477	0.50332
23.5	0.49595	0.50792
24.5	0.47965	0.5666
25.5	0.54393	0.48306
26.5	0.52301	0.57847
27.5	0.60075	0.58658
28.5	0.59112	0.57813
29.5	0.63722	0.7308
