0.5	0.56718	0.69504
1.5	0.72756	0.87345
2.5	0.59441	0.68712
3.5	0.38993	0.43057
4.5	0.29297	0.31396
5.5	0.26254	0.27544
6.5	0.25704	0.2722
7.5	0.26313	0.28207
8.5	0.27318	0.29242
9.5	0.28737	0.31086
10.5	0.29783	0.31957
11.5	0.31304	0.33352
12.5	0.32236	0.33924
13.5	0.33672	0.35097
14.5	0.33451	0.37358
15.5	0.34842	0.37197
16.5	0.35837	0.37759
17.5	0.38041	0.38374
18.5	0.38004	0.41952
19.5	0.39445	0.41452
20.5	0.3896	0.38647
21.5	0.42173	0.44166
22.5	0.41495	0.41103
23.5	0.43711	0.45626
24.5	0.43185	0.47862
25.5	0.44414	0.50629
26.5	0.49015	0.50685
27.5	0.508	0.54119
28.5	0.52528	0.56631
29.5	0.65887	0.60342
