0.203	2.089
0.223	2.059
0.245	2.071
0.269	2.079
0.295	2.071
0.325	2.055
0.357	2.058
0.392	2.035
0.430	2.021
0.473	2.001
0.520	1.984
0.571	1.944
0.627	1.887
0.689	1.832
0.757	1.763
0.832	1.666
0.914	1.569
1.005	1.459
1.104	1.332
1.213	1.189
1.333	1.054
1.464	0.917
1.609	0.785
1.768	0.667
1.943	0.560
2.134	0.470
2.345	0.392
2.577	0.330
2.831	0.282
3.111	0.245
3.418	0.215
3.756	0.194
4.127	0.178
4.534	0.166
4.982	0.159
5.474	0.155
6.014	0.150
6.608	0.146
7.261	0.146
7.978	0.150
8.766	0.153
9.632	0.156
10.583	0.161
11.628	0.174
12.776	0.183
14.038	0.185
15.424	0.197
16.947	0.204
18.621	0.201
20.460	0.234
22.480	0.234
24.700	0.278
27.140	0.273
29.820	0.258
