    0.500E+00  0.997E+00  0.368E-02
    0.253E+01  0.762E+00  0.225E-02
    0.456E+01  0.559E+00  0.173E-02
    0.659E+01  0.510E+00  0.163E-02
    0.862E+01  0.519E+00  0.169E-02
    0.106E+02  0.534E+00  0.175E-02
    0.127E+02  0.546E+00  0.181E-02
    0.147E+02  0.570E+00  0.190E-02
    0.167E+02  0.588E+00  0.196E-02
    0.188E+02  0.597E+00  0.200E-02
    0.208E+02  0.614E+00  0.206E-02
    0.228E+02  0.628E+00  0.211E-02
    0.249E+02  0.640E+00  0.217E-02
    0.269E+02  0.646E+00  0.219E-02
    0.289E+02  0.657E+00  0.223E-02
    0.309E+02  0.664E+00  0.226E-02
    0.330E+02  0.678E+00  0.231E-02
    0.350E+02  0.676E+00  0.231E-02
    0.370E+02  0.689E+00  0.236E-02
    0.391E+02  0.699E+00  0.240E-02
    0.411E+02  0.694E+00  0.239E-02
    0.431E+02  0.709E+00  0.243E-02
    0.451E+02  0.713E+00  0.246E-02
    0.472E+02  0.715E+00  0.247E-02
    0.492E+02  0.720E+00  0.249E-02
    0.512E+02  0.721E+00  0.251E-02
    0.533E+02  0.729E+00  0.252E-02
    0.553E+02  0.736E+00  0.256E-02
    0.573E+02  0.738E+00  0.258E-02
    0.594E+02  0.747E+00  0.261E-02
    0.614E+02  0.747E+00  0.261E-02
    0.634E+02  0.754E+00  0.265E-02
    0.654E+02  0.763E+00  0.268E-02
    0.675E+02  0.765E+00  0.271E-02
    0.695E+02  0.765E+00  0.270E-02
